flight_id,flight_number,origin_airport_code,dest_airport_code,aircraft_code,flight_date
40058,VA549,COK,CCU,AC06,2026-03-27
40059,VA908,CDG,SIN,AC01,2025-05-21
40060,VA582,BLR,BKK,AC07,2026-03-07
40061,VA532,DXB,SFO,AC02,2026-02-27
40062,VA367,CCU,SFO,AC09,2025-02-03
40063,VA716,AUH,SIN,AC09,2026-01-13
40064,VA811,DXB,KUL,AC01,2026-01-26
40065,VA756,BOM,CDG,AC03,2025-11-19
40066,VA239,KUL,CDG,AC01,2025-07-25
40067,VA412,COK,CDG,AC06,2025-10-22
40068,VA261,BLR,HYD,AC04,2025-09-22
40069,VA881,SFO,CDG,AC03,2026-03-10
40070,VA520,FRA,JFK,AC06,2025-08-20
40071,VA236,BKK,HKG,AC05,2025-03-30
40072,VA946,JFK,LHR,AC06,2026-02-14
40073,VA186,AMD,COK,AC07,2025-07-08
40074,VA997,CCU,DOH,AC07,2026-03-04
40075,VA121,LHR,GOI,AC01,2025-10-13
40076,VA741,CDG,FRA,AC04,2025-02-15
40077,VA368,KUL,COK,AC03,2025-01-26
40078,VA539,DOH,FRA,AC10,2025-05-14
40079,VA476,MAA,BLR,AC03,2025-10-18
40080,VA835,HYD,DEL,AC09,2025-08-11
40081,VA606,KUL,JFK,AC02,2025-04-25
40082,VA295,SFO,COK,AC05,2025-05-28
40083,VA491,HKG,BKK,AC03,2025-08-09
40084,VA320,COK,FRA,AC05,2026-01-08
40085,VA528,JFK,COK,AC03,2025-07-29
40086,VA397,MAA,DEL,AC05,2025-05-01
40087,VA354,FRA,KUL,AC06,2025-10-26
40088,VA569,JFK,CDG,AC02,2025-01-06
40089,VA992,BKK,MAA,AC06,2025-12-21
40090,VA317,DOH,JFK,AC07,2025-12-29
40091,VA711,SIN,HKG,AC05,2025-02-07
40092,VA160,HYD,KTM,AC01,2025-06-20
40093,VA462,GOI,BKK,AC10,2025-12-10
40094,VA866,FRA,SFO,AC01,2025-01-03
40095,VA734,PNQ,CMB,AC07,2025-06-04
40096,VA479,DOH,JFK,AC03,2025-10-14
40097,VA283,BOM,LHR,AC05,2025-03-28
40098,VA447,CMB,BKK,AC08,2025-03-09
40099,VA827,BLR,DXB,AC09,2025-08-10
40100,VA219,MAA,PNQ,AC06,2025-01-23
40101,VA992,MAA,BKK,AC05,2026-01-18
40102,VA389,AUH,SIN,AC05,2025-11-10
40103,VA420,PNQ,CMB,AC07,2025-03-26
40104,VA603,DXB,HKG,AC03,2025-10-12
40105,VA917,JFK,CDG,AC08,2025-01-28
40106,VA155,COK,MAA,AC04,2025-04-04
40107,VA366,BOM,BKK,AC03,2025-12-28
40108,VA218,KUL,SIN,AC08,2025-01-21
40109,VA826,KUL,AUH,AC09,2025-09-06
40110,VA215,KUL,BKK,AC03,2025-03-05
40111,VA308,AUH,BLR,AC05,2025-04-03
40112,VA620,CCU,HKG,AC05,2025-10-16
40113,VA317,JFK,LHR,AC10,2025-01-03
40114,VA284,CMB,LHR,AC07,2025-02-09
40115,VA793,GOI,BKK,AC02,2026-03-31
40116,VA391,DXB,DEL,AC02,2025-07-21
40117,VA208,AUH,LHR,AC06,2025-03-20
40118,VA571,DEL,BLR,AC08,2025-08-21
40119,VA708,CDG,PNQ,AC01,2025-06-18
40120,VA737,BOM,CDG,AC08,2025-06-16
40121,VA232,HKG,LHR,AC04,2026-03-18
40122,VA389,BOM,CDG,AC06,2026-02-13
40123,VA172,BOM,HKG,AC09,2025-11-05
40124,VA508,DOH,BLR,AC05,2025-04-02
40125,VA191,GOI,DOH,AC01,2026-03-13
40126,VA497,COK,CCU,AC07,2025-05-26
40127,VA223,CDG,MAA,AC05,2025-09-09
40128,VA925,SIN,HKG,AC05,2025-12-17
40129,VA467,FRA,MAA,AC02,2026-03-03
40130,VA304,AUH,CMB,AC08,2025-08-17
40131,VA374,DOH,BKK,AC10,2025-11-04
40132,VA874,SIN,BLR,AC07,2026-02-20
40133,VA290,AUH,FRA,AC07,2025-11-19
40134,VA141,SIN,BLR,AC09,2025-06-24
40135,VA329,KUL,JFK,AC03,2025-09-11
40136,VA762,CMB,CDG,AC09,2025-02-12
40137,VA547,AMD,KUL,AC02,2026-02-15
40138,VA252,BKK,AMD,AC03,2025-12-17
40139,VA635,AMD,GOI,AC07,2025-06-01
40140,VA664,LHR,BOM,AC02,2025-01-24
40141,VA622,CMB,HYD,AC07,2025-07-31
40142,VA776,HYD,KUL,AC10,2026-02-21
40143,VA360,PNQ,AUH,AC10,2025-02-11
40144,VA216,CMB,DEL,AC08,2025-04-02
40145,VA146,CCU,DOH,AC02,2025-08-02
40146,VA421,SFO,AMD,AC10,2026-01-06
40147,VA560,KUL,JFK,AC10,2026-02-18
40148,VA992,PNQ,DXB,AC03,2025-04-19
40149,VA864,CCU,BLR,AC10,2025-05-13
40150,VA544,JFK,HYD,AC09,2025-01-10
40151,VA219,DEL,DOH,AC01,2025-03-29
40152,VA571,CDG,BKK,AC07,2026-03-21
40153,VA716,JFK,HKG,AC08,2025-06-05
40154,VA807,FRA,AUH,AC07,2026-02-16
40155,VA228,AMD,BLR,AC03,2025-01-08
40156,VA935,COK,HYD,AC01,2025-12-23
40157,VA314,COK,DEL,AC08,2025-11-29
40158,VA347,MAA,CDG,AC07,2026-03-08
40159,VA295,CDG,KTM,AC02,2025-06-04
40160,VA585,KUL,MAA,AC07,2025-01-12
40161,VA256,HYD,CCU,AC08,2025-09-06
40162,VA980,BKK,DEL,AC08,2025-10-27
40163,VA401,GOI,COK,AC10,2026-03-01
40164,VA441,DOH,BOM,AC01,2025-02-22
40165,VA542,CDG,SFO,AC07,2026-03-11
40166,VA692,BKK,HKG,AC10,2026-01-10
40167,VA137,KTM,AMD,AC08,2025-07-24
40168,VA705,BKK,CMB,AC10,2025-12-14
40169,VA831,BKK,GOI,AC01,2025-09-28
40170,VA690,DEL,SIN,AC06,2025-10-11
40171,VA763,BLR,PNQ,AC07,2025-08-31
40172,VA737,HYD,BKK,AC06,2025-08-18
40173,VA121,SFO,SIN,AC03,2025-05-28
40174,VA580,HKG,COK,AC06,2025-08-13
40175,VA324,GOI,CMB,AC10,2025-12-17
40176,VA973,DXB,FRA,AC08,2025-03-09
40177,VA828,AMD,HKG,AC07,2025-08-02
40178,VA852,JFK,CDG,AC06,2026-02-12
40179,VA736,BKK,CCU,AC04,2025-05-25
40180,VA188,SFO,HKG,AC08,2025-03-08
40181,VA260,CCU,COK,AC10,2025-09-09
40182,VA605,HYD,SIN,AC05,2025-05-01
40183,VA148,COK,KTM,AC01,2025-07-03
40184,VA793,PNQ,AUH,AC03,2025-03-31
40185,VA926,CMB,BOM,AC02,2025-06-22
40186,VA732,SIN,HYD,AC04,2025-03-03
40187,VA598,KTM,GOI,AC05,2025-06-24
40188,VA888,AUH,BOM,AC09,2025-05-17
40189,VA994,MAA,SFO,AC09,2025-11-06
40190,VA823,JFK,HYD,AC01,2025-08-13
40191,VA208,KUL,HYD,AC10,2025-11-09
40192,VA142,HYD,KTM,AC09,2025-02-23
40193,VA220,CCU,CDG,AC04,2025-07-05
40194,VA399,CCU,HKG,AC08,2026-01-26
40195,VA850,CMB,BKK,AC02,2025-03-20
40196,VA442,CDG,AUH,AC03,2025-03-04
40197,VA525,COK,KUL,AC01,2025-05-06
40198,VA393,BKK,DXB,AC09,2025-03-29
40199,VA481,BLR,PNQ,AC07,2025-07-04
40200,VA351,CDG,JFK,AC03,2026-01-21
40201,VA906,CMB,SIN,AC04,2025-03-12
40202,VA972,SIN,KUL,AC09,2026-02-11
40203,VA130,JFK,AUH,AC08,2025-03-16
40204,VA925,DEL,SFO,AC09,2025-02-05
40205,VA422,BLR,DXB,AC07,2026-01-31
40206,VA162,CCU,SIN,AC07,2026-01-24
40207,VA756,BOM,JFK,AC03,2025-10-22
40208,VA830,BOM,CDG,AC09,2025-06-01
40209,VA797,SIN,DOH,AC09,2026-03-24
40210,VA860,AMD,HKG,AC06,2025-06-26
40211,VA640,DEL,PNQ,AC10,2025-03-17
40212,VA556,SFO,DOH,AC04,2026-03-31
40213,VA907,KTM,FRA,AC10,2025-11-30
40214,VA453,KUL,SFO,AC07,2026-02-02
40215,VA186,COK,AMD,AC01,2025-10-03
40216,VA842,DXB,DOH,AC03,2025-09-24
40217,VA318,KTM,AMD,AC02,2025-09-19
40218,VA633,KTM,AMD,AC06,2026-01-23
40219,VA123,CDG,CCU,AC01,2026-02-12
40220,VA364,KTM,LHR,AC04,2026-03-03
40221,VA532,AMD,HKG,AC09,2025-02-26
40222,VA961,HKG,BOM,AC06,2025-05-13
40223,VA462,CDG,CMB,AC02,2025-01-25
40224,VA559,CDG,HYD,AC05,2025-10-21
40225,VA564,HKG,DEL,AC06,2025-05-01
40226,VA679,HKG,LHR,AC09,2026-03-09
40227,VA458,FRA,GOI,AC05,2025-05-26
40228,VA686,JFK,SFO,AC03,2026-01-01
40229,VA855,DOH,CMB,AC04,2025-02-23
40230,VA696,DXB,CMB,AC04,2026-02-26
40231,VA200,AUH,KUL,AC03,2025-12-31
40232,VA194,SIN,BLR,AC01,2025-08-06
40233,VA319,MAA,BKK,AC08,2025-02-09
40234,VA638,AUH,JFK,AC07,2025-10-29
40235,VA897,KTM,CMB,AC07,2026-03-23
40236,VA610,PNQ,LHR,AC07,2025-08-14
40237,VA849,SFO,BKK,AC07,2026-02-26
40238,VA617,CCU,MAA,AC03,2025-09-06
40239,VA232,SFO,KUL,AC09,2026-03-18
40240,VA811,CMB,HYD,AC04,2025-08-22
40241,VA864,BKK,BOM,AC03,2025-10-14
40242,VA716,AUH,HYD,AC07,2025-02-26
40243,VA685,HYD,AUH,AC05,2025-01-21
40244,VA220,CMB,MAA,AC06,2025-06-06
40245,VA401,AUH,AMD,AC08,2025-01-15
40246,VA531,MAA,LHR,AC01,2025-06-06
40247,VA287,AMD,COK,AC08,2025-01-02
40248,VA457,HYD,KTM,AC02,2026-03-22
40249,VA592,BOM,SIN,AC10,2025-06-08
40250,VA445,LHR,KUL,AC07,2025-09-01
40251,VA235,HKG,FRA,AC03,2025-09-16
40252,VA879,CDG,KUL,AC08,2025-12-08
40253,VA987,KUL,MAA,AC06,2025-02-15
40254,VA738,FRA,JFK,AC07,2025-07-18
40255,VA447,GOI,DOH,AC09,2025-01-24
40256,VA853,JFK,KUL,AC05,2025-11-27
40257,VA824,BLR,CCU,AC01,2025-10-20
40258,VA416,CDG,SFO,AC09,2025-11-27
40259,VA672,HYD,CDG,AC02,2025-04-09
40260,VA690,FRA,KTM,AC01,2025-10-19
40261,VA868,CMB,COK,AC08,2025-09-15
40262,VA774,DEL,HYD,AC09,2025-04-03
40263,VA905,DEL,PNQ,AC04,2025-05-06
40264,VA554,SFO,LHR,AC02,2026-02-18
40265,VA428,KTM,FRA,AC07,2025-10-29
40266,VA982,BOM,BKK,AC01,2025-06-24
40267,VA524,SIN,CCU,AC01,2026-03-17
40268,VA491,CMB,DXB,AC05,2025-02-16
40269,VA272,HYD,KTM,AC05,2025-03-15
40270,VA886,CCU,PNQ,AC02,2025-03-20
40271,VA794,AMD,SIN,AC03,2025-01-31
40272,VA285,FRA,DXB,AC01,2026-01-01
40273,VA499,BOM,AMD,AC02,2025-06-13
40274,VA431,MAA,SIN,AC05,2025-07-12
40275,VA307,HYD,BOM,AC04,2026-01-21
40276,VA342,FRA,LHR,AC08,2025-09-18
40277,VA217,CMB,DOH,AC05,2025-02-01
40278,VA666,DXB,KUL,AC07,2025-02-03
40279,VA517,BKK,DEL,AC04,2026-03-30
40280,VA667,DEL,PNQ,AC10,2025-12-12
40281,VA881,HYD,GOI,AC09,2025-11-30
40282,VA681,MAA,AMD,AC07,2025-08-17
40283,VA612,BLR,CDG,AC04,2026-02-05
40284,VA653,MAA,AUH,AC03,2026-02-05
40285,VA533,GOI,KTM,AC09,2025-08-20
40286,VA932,BOM,DEL,AC08,2026-03-01
40287,VA768,FRA,AMD,AC03,2025-01-01
40288,VA379,BOM,BKK,AC10,2025-05-09
40289,VA459,JFK,DOH,AC04,2025-10-27
40290,VA146,CMB,AMD,AC03,2026-01-14
40291,VA171,KTM,LHR,AC05,2025-02-15
40292,VA225,DOH,SFO,AC03,2026-01-07
40293,VA999,KTM,PNQ,AC07,2025-04-18
40294,VA921,FRA,CMB,AC06,2026-03-29
40295,VA750,JFK,DXB,AC05,2026-01-21
40296,VA379,SFO,KUL,AC04,2025-12-06
40297,VA570,DXB,COK,AC10,2025-06-18
40298,VA236,DEL,SFO,AC01,2025-11-08
40299,VA109,BKK,DEL,AC03,2025-07-31
40300,VA820,KTM,SFO,AC08,2026-01-26
40301,VA183,DOH,KTM,AC02,2025-10-03
40302,VA555,DEL,JFK,AC02,2025-06-30
40303,VA466,DOH,FRA,AC07,2025-04-01
40304,VA227,SFO,DEL,AC08,2025-07-09
40305,VA109,COK,KUL,AC04,2026-01-16
40306,VA796,DEL,PNQ,AC06,2025-04-09
40307,VA740,BLR,FRA,AC05,2026-02-18
40308,VA339,SFO,GOI,AC08,2025-07-05
40309,VA604,BOM,PNQ,AC10,2025-04-18
40310,VA940,DEL,COK,AC07,2025-02-26
40311,VA612,PNQ,LHR,AC08,2025-03-29
40312,VA775,KTM,COK,AC10,2025-12-11
40313,VA678,JFK,FRA,AC03,2025-02-03
40314,VA863,LHR,MAA,AC02,2025-03-07
40315,VA976,PNQ,LHR,AC04,2026-03-28
40316,VA901,CMB,HKG,AC05,2025-04-09
40317,VA809,JFK,DEL,AC09,2025-11-11
40318,VA673,PNQ,JFK,AC08,2025-01-02
40319,VA789,SIN,CDG,AC01,2026-03-14
40320,VA964,DXB,SIN,AC07,2025-05-21
40321,VA630,HYD,JFK,AC08,2025-09-11
40322,VA877,AUH,CMB,AC01,2026-03-29
40323,VA148,HKG,GOI,AC05,2025-08-04
40324,VA423,KTM,KUL,AC01,2025-07-20
40325,VA183,COK,DXB,AC10,2026-02-18
40326,VA331,DEL,HKG,AC07,2025-02-08
40327,VA268,GOI,COK,AC06,2025-06-09
40328,VA740,BLR,CDG,AC02,2025-01-15
40329,VA927,BKK,SIN,AC01,2025-10-31
40330,VA960,CDG,DXB,AC05,2025-05-07
40331,VA344,HYD,BKK,AC06,2026-03-03
40332,VA632,BOM,DXB,AC04,2025-02-07
40333,VA882,FRA,KUL,AC02,2025-11-17
40334,VA227,KUL,LHR,AC02,2025-02-01
40335,VA420,BOM,DOH,AC02,2026-02-05
40336,VA921,MAA,BOM,AC08,2025-01-29
40337,VA741,AMD,FRA,AC07,2025-02-03
40338,VA157,HYD,JFK,AC09,2025-01-27
40339,VA511,AMD,DOH,AC02,2025-11-13
40340,VA985,SIN,GOI,AC10,2026-02-08
40341,VA110,JFK,FRA,AC08,2025-07-16
40342,VA735,KUL,SIN,AC10,2025-02-21
40343,VA791,DXB,CDG,AC01,2025-08-21
40344,VA701,CMB,DXB,AC04,2025-02-25
40345,VA709,HYD,DEL,AC02,2025-10-31
40346,VA229,COK,LHR,AC09,2025-05-12
40347,VA592,AUH,SIN,AC10,2025-08-16
40348,VA240,CCU,GOI,AC01,2025-01-31
40349,VA698,MAA,AMD,AC07,2025-09-20
40350,VA418,CDG,AUH,AC10,2026-03-30
40351,VA250,KTM,MAA,AC08,2025-06-08
40352,VA398,FRA,DXB,AC06,2025-01-05
40353,VA773,CMB,LHR,AC03,2025-01-30
40354,VA938,GOI,CMB,AC09,2026-03-16
40355,VA452,BOM,SIN,AC04,2025-04-13
40356,VA904,CDG,COK,AC02,2025-06-24
40357,VA587,COK,JFK,AC08,2025-11-04
40358,VA972,SFO,DXB,AC10,2025-10-17
40359,VA406,DXB,FRA,AC07,2025-06-18
40360,VA565,CCU,HYD,AC01,2025-09-11
40361,VA754,GOI,DEL,AC04,2025-12-21
40362,VA738,GOI,KUL,AC04,2025-05-03
40363,VA886,BKK,HKG,AC06,2026-02-18
40364,VA310,HKG,DOH,AC07,2025-04-05
40365,VA110,DEL,AUH,AC02,2025-07-03
40366,VA217,DEL,KTM,AC03,2025-05-29
40367,VA746,KUL,COK,AC10,2026-01-27
40368,VA130,AUH,BOM,AC04,2025-04-12
40369,VA324,AMD,CCU,AC05,2026-01-04
40370,VA967,CCU,DXB,AC09,2025-05-06
40371,VA122,CCU,COK,AC03,2026-03-08
40372,VA121,PNQ,HYD,AC03,2025-07-14
40373,VA446,CDG,HYD,AC04,2025-06-06
40374,VA478,KUL,GOI,AC06,2025-12-05
40375,VA918,CCU,CMB,AC10,2026-03-28
40376,VA166,SIN,SFO,AC02,2025-03-15
40377,VA296,MAA,COK,AC09,2025-07-13
40378,VA425,SFO,AUH,AC10,2025-08-08
40379,VA147,CDG,GOI,AC10,2025-10-28
40380,VA401,COK,KTM,AC03,2025-06-17
40381,VA744,GOI,BOM,AC05,2026-03-23
40382,VA698,MAA,CMB,AC08,2025-04-18
40383,VA903,HKG,BLR,AC08,2026-02-09
40384,VA166,JFK,FRA,AC03,2025-09-18
40385,VA869,DOH,CDG,AC09,2025-07-11
40386,VA575,BKK,CMB,AC03,2025-06-14
40387,VA638,SFO,AUH,AC08,2026-01-02
40388,VA695,BKK,PNQ,AC07,2025-11-23
40389,VA137,LHR,CDG,AC04,2025-04-23
40390,VA983,COK,KUL,AC04,2025-07-22
40391,VA535,COK,AMD,AC07,2025-10-20
40392,VA360,CCU,AUH,AC09,2025-02-13
40393,VA402,MAA,BLR,AC08,2025-09-23
40394,VA697,AUH,GOI,AC01,2025-08-27
40395,VA444,CMB,FRA,AC07,2025-08-19
40396,VA518,KUL,SIN,AC06,2026-02-16
40397,VA379,BKK,DXB,AC07,2025-01-13
40398,VA339,CCU,KUL,AC05,2025-11-27
40399,VA184,BLR,AUH,AC05,2026-03-08
40400,VA759,CMB,KTM,AC02,2026-02-07
40401,VA200,PNQ,GOI,AC02,2025-02-06
40402,VA659,AUH,BOM,AC04,2025-06-20
40403,VA437,COK,JFK,AC05,2025-06-04
40404,VA965,HKG,JFK,AC05,2025-04-08
40405,VA241,SFO,FRA,AC09,2025-05-14
40406,VA388,DEL,AMD,AC06,2026-02-05
40407,VA875,DOH,LHR,AC01,2025-08-30
40408,VA879,CDG,CMB,AC03,2026-03-20
40409,VA332,DOH,GOI,AC04,2025-08-31
40410,VA701,GOI,CMB,AC09,2026-01-23
40411,VA933,KUL,HKG,AC08,2025-06-24
40412,VA966,BLR,DXB,AC04,2025-08-08
40413,VA314,SFO,SIN,AC08,2025-08-19
40414,VA483,KTM,DEL,AC03,2025-10-23
40415,VA855,MAA,AMD,AC01,2025-09-13
40416,VA447,JFK,AUH,AC04,2025-08-03
40417,VA870,SIN,JFK,AC07,2026-01-26
40418,VA406,SFO,KTM,AC06,2025-10-28
40419,VA904,DEL,LHR,AC01,2025-03-13
40420,VA681,MAA,DXB,AC10,2025-11-08
40421,VA490,LHR,DOH,AC04,2025-07-20
40422,VA495,BLR,KTM,AC04,2025-09-01
40423,VA683,HYD,DXB,AC08,2025-11-24
40424,VA275,AMD,BLR,AC02,2025-12-12
40425,VA132,KTM,CCU,AC10,2025-09-08
40426,VA303,DEL,CCU,AC02,2025-07-17
40427,VA338,AMD,COK,AC05,2025-12-04
40428,VA565,CMB,BLR,AC01,2025-07-08
40429,VA275,CMB,DEL,AC06,2026-03-17
40430,VA260,SIN,DOH,AC02,2025-03-08
40431,VA589,KTM,SIN,AC02,2025-07-19
40432,VA991,COK,MAA,AC04,2025-06-08
40433,VA780,SIN,SFO,AC08,2025-03-23
40434,VA417,FRA,LHR,AC10,2025-04-14
40435,VA801,CMB,SFO,AC08,2025-05-22
40436,VA246,COK,DEL,AC08,2025-02-02
40437,VA926,DOH,FRA,AC04,2025-09-27
40438,VA602,DXB,LHR,AC08,2025-08-25
40439,VA854,LHR,BOM,AC02,2025-05-28
40440,VA455,CDG,KUL,AC05,2025-07-20
40441,VA525,FRA,CCU,AC04,2025-04-02
40442,VA542,FRA,HKG,AC08,2025-07-16
40443,VA815,JFK,CCU,AC10,2025-02-18
40444,VA144,DOH,SFO,AC04,2026-03-30
40445,VA743,CCU,PNQ,AC09,2025-05-30
40446,VA814,JFK,BLR,AC04,2025-09-10
40447,VA224,SIN,KTM,AC06,2025-02-09
40448,VA884,HYD,CMB,AC06,2025-07-29
40449,VA358,KUL,CCU,AC04,2025-09-17
40450,VA127,BOM,KUL,AC02,2025-11-24
40451,VA867,SFO,JFK,AC08,2025-07-15
40452,VA508,DXB,HKG,AC04,2025-07-23
40453,VA356,BOM,DEL,AC02,2025-12-30
40454,VA786,MAA,DXB,AC08,2025-09-06
40455,VA184,KUL,BLR,AC09,2025-12-03
40456,VA548,GOI,SFO,AC03,2025-08-30
40457,VA274,PNQ,CCU,AC01,2025-11-07
40458,VA401,HYD,CCU,AC02,2025-10-01
40459,VA272,HKG,DOH,AC02,2025-12-10
40460,VA379,DEL,JFK,AC03,2025-08-14
40461,VA321,AUH,CCU,AC01,2025-12-12
40462,VA552,KTM,COK,AC01,2026-03-05
40463,VA756,CDG,CMB,AC02,2025-07-19
40464,VA554,SFO,AMD,AC01,2025-11-03
40465,VA890,DEL,BOM,AC07,2026-01-28
40466,VA483,COK,GOI,AC04,2025-04-13
40467,VA531,BLR,DEL,AC01,2025-01-08
40468,VA796,DXB,COK,AC02,2025-04-23
40469,VA271,HYD,JFK,AC03,2025-01-23
40470,VA210,SIN,CMB,AC06,2025-06-15
40471,VA294,KTM,CDG,AC10,2025-04-17
40472,VA538,KTM,DOH,AC02,2025-04-29
40473,VA465,COK,HYD,AC06,2025-03-30
40474,VA769,DEL,DOH,AC06,2025-01-07
40475,VA569,DOH,COK,AC04,2025-02-03
40476,VA765,JFK,PNQ,AC10,2025-07-08
40477,VA323,BOM,BLR,AC07,2025-06-04
40478,VA204,FRA,BKK,AC09,2026-02-10
40479,VA357,LHR,CCU,AC02,2025-11-04
40480,VA813,DXB,CDG,AC07,2025-12-14
40481,VA440,SFO,MAA,AC03,2025-11-22
40482,VA971,SFO,DXB,AC08,2025-02-04
40483,VA723,DXB,DEL,AC10,2025-08-18
40484,VA755,DOH,CMB,AC04,2025-09-15
40485,VA113,LHR,SFO,AC04,2025-01-11
40486,VA416,FRA,HYD,AC04,2026-01-13
40487,VA734,SIN,GOI,AC02,2025-01-31
40488,VA610,MAA,AUH,AC05,2025-04-14
40489,VA309,MAA,DOH,AC01,2025-05-02
40490,VA554,HKG,FRA,AC06,2025-03-10
40491,VA759,PNQ,DXB,AC01,2025-09-24
40492,VA932,SIN,CDG,AC05,2026-01-20
40493,VA967,DEL,GOI,AC06,2025-06-25
40494,VA652,GOI,COK,AC01,2025-12-07
40495,VA812,GOI,JFK,AC04,2025-11-08
40496,VA429,DOH,CMB,AC03,2025-08-15
40497,VA166,CDG,DEL,AC08,2025-02-05
40498,VA749,COK,BOM,AC03,2025-04-15
40499,VA277,MAA,BLR,AC10,2025-10-09
40500,VA619,COK,GOI,AC02,2025-08-07
40501,VA418,HKG,KUL,AC03,2026-01-05
40502,VA534,COK,GOI,AC03,2025-11-07
40503,VA392,GOI,AMD,AC10,2025-08-18
40504,VA378,CDG,COK,AC08,2025-02-10
40505,VA486,AUH,DOH,AC03,2025-08-30
40506,VA617,KUL,SIN,AC10,2026-01-12
40507,VA939,SIN,MAA,AC08,2025-01-11
40508,VA974,DOH,SIN,AC02,2026-01-24
40509,VA650,AMD,FRA,AC03,2025-10-11
40510,VA363,HKG,CCU,AC07,2025-08-26
40511,VA390,AMD,KUL,AC07,2025-10-15
40512,VA173,FRA,BKK,AC06,2025-03-11
40513,VA300,SFO,BKK,AC03,2025-04-08
40514,VA847,DEL,CMB,AC06,2025-09-09
40515,VA504,DOH,SIN,AC06,2025-07-16
40516,VA756,BKK,AMD,AC10,2025-02-06
40517,VA227,SIN,BOM,AC07,2025-10-17
40518,VA881,CCU,COK,AC07,2025-05-11
40519,VA621,HKG,AUH,AC08,2025-11-22
40520,VA813,SFO,AUH,AC01,2025-11-30
40521,VA853,DOH,SIN,AC04,2025-05-05
40522,VA932,BKK,BOM,AC06,2025-11-20
40523,VA128,SFO,JFK,AC03,2025-05-14
40524,VA797,FRA,KUL,AC03,2025-05-11
40525,VA692,GOI,FRA,AC03,2025-01-07
40526,VA759,HYD,BLR,AC07,2025-07-23
40527,VA182,SFO,LHR,AC09,2025-04-07
40528,VA949,SIN,CCU,AC07,2025-05-10
40529,VA612,SFO,AMD,AC09,2025-12-04
40530,VA415,DOH,LHR,AC07,2026-01-21
40531,VA211,HKG,BLR,AC10,2026-02-02
40532,VA375,AUH,MAA,AC04,2026-01-19
40533,VA415,DOH,SFO,AC01,2025-03-28
40534,VA199,BKK,DEL,AC02,2026-02-01
40535,VA637,SFO,SIN,AC07,2025-12-02
