booking_id,passenger_id,flight_id,booking_date,travel_date,fare_class,fare_amount,tax_amount,booking_status,miles_earned
9000045,700835,40957,2025-06-17,2025-07-10,Premium Economy,10323.0,1688.76,Confirmed,2064
9000046,700923,40737,2025-01-11,2025-02-08,Economy,5539.0,1114.68,Cancelled,1107
9000047,701106,41543,2025-06-01,2025-07-06,Business,41397.0,5417.64,Confirmed,8279
9000048,701419,41295,2025-04-30,2025-06-23,Premium Economy,18072.0,2618.64,NoShow,3614
9000049,700140,40811,2025-12-18,2025-12-24,Premium Economy,13724.0,2096.88,Confirmed,2744
9000050,700095,41361,2026-02-02,2026-02-13,Premium Economy,18414.0,2659.68,Confirmed,3682
9000051,701408,41123,2025-06-12,2025-08-11,Economy,6866.0,1273.92,Confirmed,1373
9000052,701466,41539,2025-01-30,2025-02-06,Economy,6612.0,1243.44,Confirmed,1322
9000053,700078,40001,2025-03-10,2025-05-07,Premium Economy,13354.0,2052.48,Confirmed,2670
9000054,700048,40495,2025-09-20,2025-11-08,Economy,8479.0,1467.48,Confirmed,1695
9000055,700091,40033,2025-11-26,2025-11-28,Economy,6677.0,1251.24,Confirmed,1335
9000056,700122,41354,2026-03-03,2026-03-29,Economy,6551.0,1236.12,Confirmed,1310
9000057,700785,41300,2025-01-07,2025-02-16,Economy,6167.0,1190.04,Confirmed,1233
9000058,701402,41541,2025-11-27,2026-01-01,Premium Economy,12616.0,1963.92,Confirmed,2523
9000059,700024,41004,2025-08-30,2025-09-01,Economy,5067.0,1058.04,Confirmed,1013
9000060,700443,40931,2026-01-18,2026-02-12,Premium Economy,11168.0,1790.16,Confirmed,2233
9000061,700129,41256,2025-03-29,2025-04-25,Economy,7489.0,1348.68,Confirmed,1497
9000062,701338,40910,2026-03-02,2026-03-07,Economy,5883.0,1155.96,Confirmed,1176
9000063,700333,41483,2025-10-15,2025-10-19,Economy,4719.0,1016.28,Confirmed,943
9000064,700123,40081,2025-04-06,2025-04-25,Economy,5643.0,1127.16,Cancelled,1128
9000065,700089,40995,2026-02-05,2026-02-21,Economy,12530.0,1953.6,Cancelled,2506
9000066,701435,40619,2025-09-30,2025-10-12,Economy,9236.0,1558.32,Confirmed,1847
9000067,700048,41941,2025-12-17,2026-02-14,Economy,5350.0,1092.0,NoShow,1070
9000068,700121,40897,2025-04-24,2025-05-26,Economy,6374.0,1214.88,Confirmed,1274
9000069,701361,40068,2025-09-04,2025-09-22,Economy,6743.0,1259.16,Confirmed,1348
9000070,701118,40732,2025-01-04,2025-02-04,Economy,4725.0,1017.0,Confirmed,945
9000071,700037,40764,2025-03-31,2025-05-06,Economy,5094.0,1061.28,Confirmed,1018
9000072,700134,40615,2026-02-02,2026-02-11,Premium Economy,12663.0,1969.56,Confirmed,2532
9000073,700099,41363,2025-11-21,2025-12-09,Economy,5004.0,1050.48,Confirmed,1000
9000074,700978,41132,2025-12-26,2026-02-05,Economy,10846.0,1751.52,Confirmed,2169
9000075,700461,41051,2026-02-22,2026-02-27,Economy,4435.0,982.2,Confirmed,887
9000076,700765,41695,2025-04-22,2025-05-09,Economy,5519.0,1112.28,Confirmed,1103
9000077,701323,40800,2025-02-09,2025-03-10,Economy,4500.0,990.0,Confirmed,900
9000078,700007,41785,2025-04-13,2025-06-01,Economy,5087.0,1060.44,Confirmed,1017
9000079,700071,40854,2026-03-10,2026-03-15,Economy,9428.0,1581.36,Confirmed,1885
9000080,700120,40805,2025-12-05,2025-12-23,Economy,5285.0,1084.2,Confirmed,1057
9000081,701239,41047,2025-07-26,2025-08-27,Economy,10944.0,1763.28,Confirmed,2188
9000082,701091,41227,2025-09-01,2025-10-14,Premium Economy,11496.0,1829.52,Confirmed,2299
9000083,700131,41058,2025-03-29,2025-05-08,Economy,5437.0,1102.44,Confirmed,1087
9000084,700392,40466,2025-03-23,2025-04-13,Business,38245.0,5039.4,Confirmed,7649
9000085,701255,41691,2025-03-20,2025-04-11,Economy,5886.0,1156.32,Confirmed,1177
9000086,701111,41823,2025-08-08,2025-09-28,Economy,7256.0,1320.72,Confirmed,1451
9000087,700596,41132,2026-01-15,2026-02-05,Economy,5982.0,1167.84,Confirmed,1196
9000088,700123,41307,2026-01-25,2026-02-10,Economy,4582.0,999.84,Confirmed,916
9000089,700031,41468,2025-07-19,2025-08-06,Business,40092.0,5261.04,Confirmed,8018
9000090,700567,41979,2025-08-16,2025-09-10,Premium Economy,17774.0,2582.88,NoShow,3554
9000091,700641,41046,2025-04-21,2025-05-28,Economy,6844.0,1271.28,Confirmed,1368
9000092,700568,40244,2025-05-28,2025-06-06,Economy,4848.0,1031.76,Confirmed,969
9000093,700122,40220,2026-01-26,2026-03-03,Economy,7384.0,1336.08,Confirmed,1476
9000094,700146,40020,2025-11-08,2025-11-16,Economy,6616.0,1243.92,Confirmed,1323
9000095,700450,41539,2025-01-19,2025-02-06,Business,38654.0,5088.48,Confirmed,7730
9000096,700146,40351,2025-04-17,2025-06-08,Business,38007.0,5010.84,Confirmed,7601
9000097,700452,41516,2025-05-21,2025-06-30,First,117121.0,14504.52,Confirmed,23424
9000098,700913,40495,2025-10-09,2025-11-08,Economy,7001.0,1290.12,Confirmed,1400
9000099,700778,40437,2025-09-12,2025-09-27,Economy,5671.0,1130.52,Confirmed,1134
9000100,700701,40047,2024-12-25,2025-01-29,Premium Economy,10657.0,1728.84,Confirmed,2131
9000101,701440,40659,2025-04-02,2025-04-04,Economy,8499.0,1469.88,Confirmed,1699
9000102,700090,40158,2026-01-28,2026-03-08,Premium Economy,14322.0,2168.64,Confirmed,2864
9000103,700049,40829,2025-04-16,2025-05-04,Economy,5567.0,1118.04,Confirmed,1113
9000104,700146,41405,2025-12-10,2026-02-08,Economy,6571.0,1238.52,Confirmed,1314
9000105,700065,40706,2025-12-01,2025-12-25,Economy,6088.0,1180.56,Cancelled,1217
9000106,700149,40713,2025-09-04,2025-09-19,Economy,7865.0,1393.8,Confirmed,1573
9000107,700040,41320,2025-04-22,2025-05-26,Economy,8668.0,1490.16,Confirmed,1733
9000108,700570,40189,2025-09-27,2025-11-06,Economy,8827.0,1509.24,Confirmed,1765
9000109,701271,41783,2026-01-03,2026-03-03,Economy,5912.0,1159.44,Confirmed,1182
9000110,700050,40106,2025-02-26,2025-04-04,Economy,8995.0,1529.4,Confirmed,1799
9000111,700947,41234,2025-02-16,2025-04-03,Economy,7224.0,1316.88,Confirmed,1444
9000112,700666,41133,2025-07-26,2025-09-13,Economy,4861.0,1033.32,Confirmed,972
9000113,700034,41751,2026-02-22,2026-03-05,Premium Economy,13389.0,2056.68,Confirmed,2677
9000114,700571,40342,2025-02-17,2025-02-21,Economy,7507.0,1350.84,Confirmed,1501
9000115,700086,40947,2025-10-10,2025-10-26,Economy,8579.0,1479.48,Confirmed,1715
9000116,701127,40137,2026-01-21,2026-02-15,Economy,5234.0,1078.08,Confirmed,1046
9000117,701240,41108,2025-07-14,2025-08-30,Economy,8275.0,1443.0,Cancelled,1655
9000118,700127,41182,2025-05-09,2025-06-24,Premium Economy,12837.0,1990.44,Cancelled,2567
9000119,700613,40258,2025-10-06,2025-11-27,Economy,7268.0,1322.16,Cancelled,1453
9000120,700286,40765,2026-01-04,2026-01-06,Economy,5759.0,1141.08,Confirmed,1151
9000121,700952,41329,2025-12-05,2026-01-25,Economy,5175.0,1071.0,Confirmed,1035
9000122,700095,40760,2025-02-09,2025-04-07,Economy,5516.0,1111.92,Confirmed,1103
9000123,700726,40108,2024-12-29,2025-01-21,Economy,5460.0,1105.2,Confirmed,1092
9000124,700025,41681,2026-01-04,2026-02-06,Economy,5622.0,1124.64,Confirmed,1124
9000125,701255,40298,2025-09-21,2025-11-08,Premium Economy,11389.0,1816.68,Confirmed,2277
9000126,700112,40942,2025-04-25,2025-05-18,Economy,5658.0,1128.96,Confirmed,1131
9000127,701036,41553,2025-02-13,2025-03-17,Economy,6271.0,1202.52,Confirmed,1254
9000128,700547,40137,2026-02-05,2026-02-15,Business,36994.0,4889.28,Confirmed,7398
9000129,700011,40294,2026-03-19,2026-03-29,Premium Economy,10892.0,1757.04,Confirmed,2178
9000130,700310,40620,2025-09-22,2025-09-23,Business,34157.0,4548.84,Confirmed,6831
9000131,700126,40874,2026-02-16,2026-03-24,Economy,7206.0,1314.72,Cancelled,1441
9000132,700960,40233,2025-02-03,2025-02-09,Economy,7567.0,1358.04,Confirmed,1513
9000133,700668,41957,2025-04-18,2025-05-05,Economy,7607.0,1362.84,Confirmed,1521
9000134,700502,41078,2025-02-22,2025-03-04,Economy,8952.0,1524.24,Confirmed,1790
9000135,701483,40463,2025-05-27,2025-07-19,Economy,6107.0,1182.84,Confirmed,1221
9000136,700057,40828,2025-04-03,2025-04-07,Business,30135.0,4066.2,Confirmed,6027
9000137,700138,41729,2025-12-07,2026-01-27,Economy,9111.0,1543.32,Confirmed,1822
9000138,700123,41035,2025-08-12,2025-09-05,Economy,5649.0,1127.88,Confirmed,1129
9000139,700062,41942,2025-06-03,2025-08-02,Economy,4780.0,1023.6,Confirmed,956
9000140,700481,40683,2025-07-01,2025-07-25,Economy,5724.0,1136.88,Confirmed,1144
9000141,700169,40586,2025-03-01,2025-03-17,Economy,5328.0,1089.36,Confirmed,1065
9000142,701428,40206,2026-01-18,2026-01-24,Economy,6929.0,1281.48,Confirmed,1385
9000143,701171,41327,2025-10-21,2025-10-31,First,117636.0,14566.32,Confirmed,23527
9000144,700010,40179,2025-05-22,2025-05-25,Economy,5690.0,1132.8,NoShow,1138
9000145,700220,41258,2025-03-13,2025-03-14,Premium Economy,12006.0,1890.72,Confirmed,2401
9000146,700322,40547,2025-06-04,2025-07-12,Economy,6503.0,1230.36,Confirmed,1300
9000147,700086,41317,2025-02-23,2025-04-14,Economy,4434.0,982.08,Confirmed,886
9000148,700102,41361,2026-02-02,2026-02-13,Economy,7601.0,1362.12,Confirmed,1520
9000149,700075,40856,2024-12-22,2025-02-12,Business,43629.0,5685.48,Confirmed,8725
9000150,701408,40162,2025-10-23,2025-10-27,Economy,6023.0,1172.76,Confirmed,1204
9000151,701375,40655,2025-11-24,2026-01-01,Economy,6091.0,1180.92,Cancelled,1218
9000152,700040,41130,2025-12-30,2026-02-15,Economy,7855.0,1392.6,Confirmed,1571
9000153,700814,40800,2025-02-25,2025-03-10,Economy,7649.0,1367.88,Confirmed,1529
9000154,701348,41605,2025-12-20,2026-02-04,Business,37819.0,4988.28,Confirmed,7563
9000155,700064,40644,2024-12-29,2025-02-26,Premium Economy,15555.0,2316.6,Confirmed,3111
9000156,700414,40851,2025-05-07,2025-05-13,Economy,7678.0,1371.36,Confirmed,1535
9000157,700763,41476,2025-05-19,2025-05-31,Economy,8586.0,1480.32,Confirmed,1717
9000158,701034,40690,2026-01-17,2026-01-18,Economy,5417.0,1100.04,Confirmed,1083
9000159,700010,40560,2026-01-08,2026-02-11,Economy,6343.0,1211.16,Cancelled,1268
9000160,700128,40931,2025-12-27,2026-02-12,Economy,6021.0,1172.52,Confirmed,1204
9000161,700920,40971,2025-10-04,2025-11-27,Business,42660.0,5569.2,Confirmed,8532
9000162,700058,40542,2025-01-24,2025-02-13,Business,46572.0,6038.64,Confirmed,9314
9000163,700560,40083,2025-07-25,2025-08-09,Business,39837.0,5230.44,Confirmed,7967
9000164,701017,41096,2025-05-28,2025-07-20,Business,66827.0,8469.24,Confirmed,13365
9000165,700796,41188,2024-12-25,2025-01-08,Economy,6804.0,1266.48,Confirmed,1360
9000166,700062,41148,2025-08-01,2025-09-17,Economy,6307.0,1206.84,Confirmed,1261
9000167,700873,41938,2025-10-16,2025-11-16,Economy,4836.0,1030.32,Confirmed,967
9000168,700039,40417,2025-12-10,2026-01-26,Economy,5296.0,1085.52,Confirmed,1059
9000169,700232,41788,2025-10-17,2025-10-25,Business,70087.0,8860.44,Cancelled,14017
9000170,700985,41566,2025-11-10,2025-12-09,Economy,6174.0,1190.88,Confirmed,1234
9000171,701485,41368,2025-05-08,2025-06-17,Economy,5632.0,1125.84,Confirmed,1126
9000172,700980,40037,2025-04-12,2025-06-10,Business,36433.0,4821.96,Confirmed,7286
9000173,700824,41893,2025-12-11,2026-01-29,Economy,7715.0,1375.8,Confirmed,1543
9000174,700058,40434,2025-04-03,2025-04-14,Economy,8059.0,1417.08,Confirmed,1611
9000175,700094,41709,2025-12-14,2026-01-26,Business,50839.0,6550.68,Confirmed,10167
9000176,700762,40407,2025-07-03,2025-08-30,Economy,6053.0,1176.36,Confirmed,1210
9000177,700034,41328,2025-10-21,2025-11-12,Economy,9086.0,1540.32,Confirmed,1817
9000178,701306,40969,2024-12-02,2025-01-03,Economy,6743.0,1259.16,Confirmed,1348
9000179,700076,40649,2025-10-13,2025-10-29,Economy,7503.0,1350.36,Confirmed,1500
9000180,700745,41361,2026-02-04,2026-02-13,Economy,4026.0,933.12,NoShow,805
9000181,701075,40153,2025-05-04,2025-06-05,Economy,8503.0,1470.36,Confirmed,1700
9000182,700031,41234,2025-02-23,2025-04-03,Business,39081.0,5139.72,Confirmed,7816
9000183,701126,40374,2025-10-29,2025-12-05,Economy,7282.0,1323.84,Confirmed,1456
9000184,700103,41545,2025-12-20,2026-01-24,Business,48144.0,6227.28,Confirmed,9628
9000185,700013,41540,2025-01-02,2025-03-03,Economy,8531.0,1473.72,Confirmed,1706
9000186,700143,40280,2025-12-07,2025-12-12,Economy,7735.0,1378.2,Confirmed,1547
9000187,700212,41833,2025-02-17,2025-04-09,Economy,5706.0,1134.72,Cancelled,1141
9000188,701397,41291,2026-01-19,2026-03-12,Economy,4504.0,990.48,Confirmed,900
9000189,700140,41043,2025-05-06,2025-05-22,First,106348.0,13211.76,Confirmed,21269
9000190,700034,40487,2025-01-27,2025-01-31,Economy,6653.0,1248.36,Confirmed,1330
9000191,701447,40828,2025-02-28,2025-04-07,Economy,6440.0,1222.8,Confirmed,1288
9000192,700064,40860,2025-03-06,2025-03-23,Economy,5921.0,1160.52,Confirmed,1184
9000193,700010,41415,2025-01-10,2025-01-19,Economy,8646.0,1487.52,Cancelled,1729
9000194,700028,40472,2025-04-13,2025-04-29,Premium Economy,17384.0,2536.08,Confirmed,3476
9000195,700052,41176,2026-03-13,2026-03-14,Economy,11491.0,1828.92,Confirmed,2298
9000196,700775,40915,2025-06-02,2025-06-12,Economy,6607.0,1242.84,Confirmed,1321
9000197,700090,41350,2025-07-26,2025-08-29,Economy,5998.0,1169.76,Confirmed,1199
9000198,700012,40385,2025-05-16,2025-07-11,Economy,7994.0,1409.28,Confirmed,1598
9000199,700028,40516,2025-02-05,2025-02-06,Economy,11813.0,1867.56,Confirmed,2362
9000200,701084,41804,2025-07-21,2025-08-09,Economy,5353.0,1092.36,Confirmed,1070
9000201,700976,40133,2025-10-12,2025-11-19,Economy,5603.0,1122.36,Confirmed,1120
9000202,701321,41973,2025-03-13,2025-04-07,Economy,6082.0,1179.84,Confirmed,1216
9000203,700094,40995,2026-01-27,2026-02-21,Economy,9417.0,1580.04,Cancelled,1883
9000204,700041,41069,2026-01-11,2026-01-28,Economy,4891.0,1036.92,Confirmed,978
9000205,701256,40128,2025-11-10,2025-12-17,Business,37291.0,4924.92,Cancelled,7458
9000206,700005,41176,2026-01-21,2026-03-14,Business,62954.0,8004.48,NoShow,12590
9000207,700027,40670,2025-03-17,2025-05-06,Economy,6487.0,1228.44,Confirmed,1297
9000208,700102,41500,2026-02-08,2026-02-28,Premium Economy,12407.0,1938.84,Confirmed,2481
9000209,700501,41371,2025-04-19,2025-06-12,Business,42123.0,5504.76,Confirmed,8424
9000210,700882,40665,2025-10-08,2025-10-11,Business,35012.0,4651.44,Confirmed,7002
9000211,700089,41960,2025-12-08,2026-01-13,Economy,4492.0,989.04,Confirmed,898
9000212,700024,40419,2025-02-11,2025-03-13,Economy,6005.0,1170.6,Confirmed,1201
9000213,700921,40074,2026-02-15,2026-03-04,Economy,6419.0,1220.28,Confirmed,1283
9000214,700137,41829,2025-09-03,2025-09-17,Economy,10352.0,1692.24,Confirmed,2070
9000215,700001,41528,2025-05-29,2025-07-09,Business,35814.0,4747.68,Confirmed,7162
9000216,700089,41896,2025-08-27,2025-10-20,Economy,6178.0,1191.36,Confirmed,1235
9000217,701170,41914,2025-03-30,2025-04-22,Premium Economy,13618.0,2084.16,Confirmed,2723
9000218,700401,40043,2025-12-19,2026-01-31,Economy,5345.0,1091.4,Confirmed,1069
9000219,700064,41694,2026-03-17,2026-03-31,Economy,5675.0,1131.0,Confirmed,1135
9000220,700110,40241,2025-08-28,2025-10-14,Business,33582.0,4479.84,Confirmed,6716
9000221,701091,40315,2026-02-11,2026-03-28,Economy,8704.0,1494.48,Confirmed,1740
9000222,700106,40358,2025-09-03,2025-10-17,Premium Economy,12987.0,2008.44,Confirmed,2597
9000223,701386,40222,2025-04-15,2025-05-13,Economy,7400.0,1338.0,Confirmed,1480
9000224,701251,41087,2025-06-19,2025-08-16,Business,41789.0,5464.68,Cancelled,8357
9000225,700041,41713,2026-02-01,2026-03-24,Economy,5206.0,1074.72,Cancelled,1041
9000226,701422,40401,2025-01-11,2025-02-06,Economy,7692.0,1373.04,Confirmed,1538
9000227,700808,40259,2025-02-10,2025-04-09,Economy,7688.0,1372.56,Confirmed,1537
9000228,700474,41862,2025-10-28,2025-12-09,Economy,6915.0,1279.8,Confirmed,1383
9000229,700134,41636,2025-08-03,2025-08-12,Economy,6284.0,1204.08,Confirmed,1256
9000230,700420,41100,2025-08-10,2025-08-16,Economy,5725.0,1137.0,Confirmed,1145
9000231,700864,40286,2026-01-08,2026-03-01,Premium Economy,14312.0,2167.44,Confirmed,2862
9000232,700086,41476,2025-04-20,2025-05-31,Economy,7151.0,1308.12,Confirmed,1430
9000233,701480,40061,2026-02-24,2026-02-27,Premium Economy,21959.0,3085.08,Confirmed,4391
9000234,700048,40062,2025-01-28,2025-02-03,Economy,11918.0,1880.16,Confirmed,2383
9000235,701238,40984,2025-12-20,2026-02-10,Economy,8092.0,1421.04,Confirmed,1618
9000236,701322,40052,2025-11-03,2025-12-20,Economy,5639.0,1126.68,Confirmed,1127
9000237,701105,40593,2025-04-15,2025-06-03,Economy,4775.0,1023.0,Confirmed,955
9000238,700643,40976,2026-02-20,2026-03-11,Economy,4100.0,942.0,Confirmed,820
9000239,700066,40777,2025-07-07,2025-08-07,Economy,6007.0,1170.84,Confirmed,1201
9000240,700038,41814,2025-12-09,2025-12-25,Economy,6555.0,1236.6,Confirmed,1311
9000241,700082,40829,2025-04-09,2025-05-04,Economy,5492.0,1109.04,Confirmed,1098
9000242,701131,40756,2025-03-03,2025-04-15,Economy,5654.0,1128.48,Confirmed,1130
9000243,700034,41462,2025-03-04,2025-03-07,Economy,4956.0,1044.72,Confirmed,991
9000244,700250,41581,2025-07-24,2025-09-02,Premium Economy,13456.0,2064.72,Confirmed,2691
9000245,700535,41772,2025-06-03,2025-06-29,Economy,6871.0,1274.52,Cancelled,1374
9000246,700509,41281,2025-07-20,2025-09-05,Economy,7427.0,1341.24,Cancelled,1485
9000247,700039,41056,2025-12-29,2026-01-11,Economy,7877.0,1395.24,Confirmed,1575
9000248,701321,41378,2026-03-20,2026-03-25,Economy,5492.0,1109.04,Confirmed,1098
9000249,701468,41371,2025-04-30,2025-06-12,Premium Economy,12900.0,1998.0,Confirmed,2580
9000250,700515,40267,2026-02-21,2026-03-17,Premium Economy,16517.0,2432.04,Confirmed,3303
9000251,700726,40168,2025-11-14,2025-12-14,Business,47490.0,6148.8,NoShow,9498
9000252,701476,41937,2026-02-09,2026-03-30,Economy,3883.0,915.96,Confirmed,776
9000253,700047,41383,2025-11-01,2025-11-25,Economy,6869.0,1274.28,Cancelled,1373
9000254,701086,41369,2025-04-28,2025-05-04,Economy,4551.0,996.12,Confirmed,910
9000255,701025,41034,2025-04-06,2025-06-04,Business,59542.0,7595.04,Confirmed,11908
9000256,701427,41062,2025-04-27,2025-05-09,Premium Economy,10836.0,1750.32,Confirmed,2167
9000257,700527,40126,2025-04-12,2025-05-26,Economy,4217.0,956.04,Confirmed,843
9000258,700012,41202,2026-02-24,2026-03-17,Business,39830.0,5229.6,Confirmed,7966
9000259,700080,41242,2025-02-12,2025-02-25,Economy,6146.0,1187.52,Confirmed,1229
9000260,700670,41807,2025-07-01,2025-07-28,Business,61372.0,7814.64,Confirmed,12274
9000261,700017,40797,2025-09-20,2025-09-27,Economy,6169.0,1190.28,Confirmed,1233
9000262,700026,40021,2025-02-03,2025-04-03,Economy,7035.0,1294.2,Confirmed,1407
9000263,700030,40500,2025-06-23,2025-08-07,Economy,5947.0,1163.64,Confirmed,1189
9000264,700014,41966,2025-11-17,2026-01-03,Business,44900.0,5838.0,Confirmed,8980
9000265,700059,40156,2025-12-03,2025-12-23,Economy,7078.0,1299.36,Confirmed,1415
9000266,700349,40813,2025-01-23,2025-02-26,Economy,8953.0,1524.36,Confirmed,1790
9000267,700070,41669,2026-01-17,2026-03-05,Economy,4824.0,1028.88,Confirmed,964
9000268,700834,40686,2025-02-27,2025-03-21,Economy,12113.0,1903.56,Confirmed,2422
9000269,700101,41926,2025-04-24,2025-06-11,Economy,5851.0,1152.12,Confirmed,1170
9000270,700873,40877,2025-12-24,2026-01-21,Business,48421.0,6260.52,Confirmed,9684
9000271,700006,41598,2025-12-02,2026-01-26,Economy,5174.0,1070.88,Confirmed,1034
9000272,700110,40791,2025-02-25,2025-03-07,Economy,7177.0,1311.24,Confirmed,1435
9000273,701149,41042,2026-02-23,2026-03-31,Economy,6528.0,1233.36,Confirmed,1305
9000274,700082,41319,2025-02-25,2025-04-24,Economy,4980.0,1047.6,Confirmed,996
9000275,700701,40237,2026-02-10,2026-02-26,Economy,6884.0,1276.08,NoShow,1376
9000276,700011,40611,2025-11-04,2025-11-20,Economy,7219.0,1316.28,Confirmed,1443
9000277,701415,40434,2025-03-30,2025-04-14,Economy,6503.0,1230.36,Confirmed,1300
9000278,700592,41421,2025-12-02,2025-12-04,Economy,4822.0,1028.64,Confirmed,964
9000279,701281,40585,2026-01-27,2026-03-05,Economy,4098.0,941.76,Confirmed,819
9000280,701494,40861,2025-03-06,2025-04-25,Economy,9461.0,1585.32,Confirmed,1892
9000281,701304,41384,2025-04-07,2025-05-21,Premium Economy,13441.0,2062.92,Confirmed,2688
9000282,700634,41949,2024-12-04,2025-01-10,Economy,5737.0,1138.44,Confirmed,1147
9000283,701154,41166,2025-05-28,2025-07-07,Premium Economy,10013.0,1651.56,Confirmed,2002
9000284,700062,41146,2025-02-07,2025-02-11,Economy,6059.0,1177.08,Confirmed,1211
9000285,700056,41314,2026-01-12,2026-02-10,Economy,4920.0,1040.4,NoShow,984
9000286,701346,40667,2025-11-04,2025-12-17,Economy,10789.0,1744.68,Confirmed,2157
9000287,700699,41837,2025-03-28,2025-05-03,Premium Economy,11781.0,1863.72,Confirmed,2356
9000288,700300,40061,2026-01-22,2026-02-27,Premium Economy,15716.0,2335.92,Confirmed,3143
9000289,700149,40889,2025-09-22,2025-11-04,Economy,7514.0,1351.68,Confirmed,1502
9000290,700298,41891,2024-12-31,2025-02-23,Economy,7064.0,1297.68,Confirmed,1412
9000291,700049,41569,2025-06-19,2025-07-02,Premium Economy,12293.0,1925.16,Cancelled,2458
9000292,700556,41591,2025-04-28,2025-05-16,Economy,4641.0,1006.92,Confirmed,928
9000293,700889,41282,2026-01-08,2026-03-07,Economy,6099.0,1181.88,Confirmed,1219
9000294,700085,41229,2025-04-02,2025-04-28,Business,39196.0,5153.52,Confirmed,7839
